time,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,cfg0_x,cfg0_y,cfg0_z,cfg1_x,cfg1_y,cfg1_z,cfg2_x,cfg2_y,cfg2_z,cfg3_x,cfg3_y,cfg3_z,cfg4_x,cfg4_y,cfg4_z,cfg5_x,cfg5_y,cfg5_z
1.05016,0,0,0.24,0,0,0,-0.0140201,1.38269,1.25987,-0.0140201,1.38269,1.25987,0.0140201,1.38269,1.25987,-0.0140201,1.38269,1.25987,-0.0140201,1.38269,1.25987,0.0140201,1.38269,1.25987
1.08807,7.44976e-06,0,0.239999,0,0,0,-0.0164428,1.38241,1.2591,-0.0140096,1.372,1.25033,0.0115984,1.38217,1.25993,-0.0139867,1.37096,1.24941,-0.0164428,1.38241,1.2591,0.0140245,1.3719,1.25022
1.09825,2.97972e-05,0,0.239998,0,0,0,-0.0188666,1.38213,1.25833,-0.013978,1.3614,1.24091,0.00917773,1.38165,1.26,-0.0138868,1.35936,1.23911,-0.0188666,1.38213,1.25833,0.0140376,1.36119,1.24069
1.10821,6.70368e-05,0,0.239994,0,0,0,-0.0212914,1.38185,1.25756,-0.0139257,1.35091,1.23163,0.00675825,1.38113,1.26008,-0.0137212,1.34787,1.22898,-0.0212914,1.38185,1.25756,0.0140593,1.35058,1.23126
1.11828,0.000119159,0,0.23999,0,0,0,-0.0237172,1.38156,1.2568,-0.0138528,1.34051,1.22247,0.00433994,1.3806,1.26015,-0.0134904,1.33651,1.21902,-0.0237172,1.38156,1.2568,0.0140895,1.34007,1.22195
1.12817,0.000186152,0,0.239985,0,0,0,-0.026144,1.38128,1.25605,-0.0137595,1.3302,1.21344,0.00192283,1.38008,1.26024,-0.0131951,1.32526,1.20923,-0.026144,1.38128,1.25605,0.0141281,1.32965,1.21274
1.13831,0.000267998,0,0.239978,0,0,0,-0.0285718,1.38099,1.2553,-0.0136461,1.32,1.20454,-0.000493056,1.37955,1.26033,-0.0128359,1.31414,1.19959,-0.0285718,1.38099,1.2553,0.0141751,1.31933,1.20365
1.14817,0.000364678,0,0.23997,0,0,0,-0.0310005,1.3807,1.25456,-0.0135128,1.30989,1.19576,-0.00290768,1.37903,1.26043,-0.0124137,1.30314,1.19013,-0.0310005,1.3807,1.25456,0.0142303,1.30911,1.19466
1.15829,0.000476167,0,0.239961,0,0,0,-0.0334301,1.38041,1.25382,-0.0133597,1.29988,1.18711,-0.00532103,1.3785,1.26053,-0.0119289,1.29227,1.18082,-0.0334301,1.38041,1.25382,0.0142936,1.29898,1.18578
1.16822,0.000602439,0,0.23995,0,0,0,-0.0358605,1.38012,1.25309,-0.0131871,1.28997,1.17859,-0.00773308,1.37798,1.26063,-0.0113822,1.28151,1.17168,-0.0358605,1.38012,1.25309,0.014365,1.28895,1.17702
1.17832,0.000743461,0,0.239938,0,0,0,-0.0382919,1.37983,1.25236,-0.0129952,1.28016,1.17019,-0.0101438,1.37745,1.26075,-0.0107744,1.27088,1.1627,-0.0382919,1.37983,1.25236,0.0144444,1.27901,1.16836
1.1882,0.000899199,0,0.239926,0,0,0,-0.040724,1.37954,1.25163,-0.0127842,1.27045,1.16192,-0.0125531,1.37692,1.26086,-0.010106,1.26036,1.15389,-0.040724,1.37954,1.25163,0.0145316,1.26917,1.15981
1.19832,0.00106961,0,0.239911,0,0,0,-0.0431569,1.37925,1.25092,-0.0125544,1.26084,1.15378,-0.0149611,1.37639,1.26099,-0.00937776,1.24997,1.14523,-0.0431569,1.37925,1.25092,0.0146267,1.25943,1.15137
1.24482,0.00125467,0,0.239896,0,0,0,-0.0455907,1.37895,1.2502,-0.0123059,1.25132,1.14576,-0.0173677,1.37586,1.26112,-0.0085903,1.2397,1.13673,-0.0455907,1.37895,1.2502,0.0147295,1.24978,1.14304
1.255,0.00145431,0,0.23988,0,0,0,-0.0480251,1.37866,1.2495,-0.012039,1.2419,1.13786,-0.0197728,1.37533,1.26125,-0.00774429,1.22955,1.1284,-0.0480251,1.37866,1.2495,0.0148399,1.24023,1.13481
1.26507,0.00166849,0,0.239862,0,0,0,-0.0504603,1.37836,1.2488,-0.0117538,1.23259,1.13009,-0.0221765,1.3748,1.26139,-0.00684038,1.21952,1.12022,-0.0504603,1.37836,1.2488,0.0149578,1.23078,1.1267
1.27503,0.00189716,0,0.239843,0,0,0,-0.0528961,1.37806,1.2481,-0.0114507,1.22337,1.12245,-0.0245787,1.37427,1.26154,-0.00587924,1.20961,1.1122,-0.0528961,1.37806,1.2481,0.0150832,1.22143,1.11869
1.28506,0.00214026,0,0.239823,0,0,0,-0.0553326,1.37776,1.24741,-0.0111297,1.21425,1.11492,-0.0269793,1.37374,1.26169,-0.00486151,1.19983,1.10434,-0.0553326,1.37776,1.24741,0.0152159,1.21217,1.11079
1.29509,0.00239773,0,0.239801,0,0,0,-0.0577697,1.37746,1.24672,-0.0107912,1.20523,1.10752,-0.0293785,1.3732,1.26185,-0.00378787,1.19016,1.09663,-0.0577697,1.37746,1.24672,0.0153559,1.20301,1.103
