time,foot0_x,foot0_y,foot0_z,foot1_x,foot1_y,foot1_z,foot2_x,foot2_y,foot2_z,foot3_x,foot3_y,foot3_z,foot4_x,foot4_y,foot4_z,foot5_x,foot5_y,foot5_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05016,0.35,-0.33,0,0.050002,-0.389998,1.24246e-06,-0.35,-0.33,0,0.350002,0.329998,1.24246e-06,0.05,0.39,0,-0.350002,0.329998,1.24246e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.08807,0.35,-0.33,1.17953e-08,0.0506086,-0.389995,0.00128294,-0.35,-0.33,8.5917e-09,0.350614,0.329994,0.00141174,0.05,0.39,1.17953e-08,-0.349397,0.329994,0.00129632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.09825,0.35,-0.33,2.35905e-08,0.0512204,-0.389986,0.00254873,-0.35,-0.33,1.71834e-08,0.351243,0.329984,0.00280227,0.0500001,0.39,2.35905e-08,-0.34879,0.329981,0.00257616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10821,0.35,-0.33,3.53858e-08,0.0518376,-0.389972,0.00379855,-0.35,-0.33,2.57751e-08,0.351889,0.329967,0.00417281,0.0500001,0.39,3.53858e-08,-0.348181,0.329961,0.00384069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.11828,0.35,-0.33,4.7181e-08,0.0524599,-0.389953,0.00503238,-0.35,-0.33,3.43668e-08,0.35255,0.329943,0.00552337,0.0500001,0.39,4.7181e-08,-0.34757,0.329932,0.00508985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.12817,0.35,-0.33,5.89763e-08,0.0530873,-0.389929,0.00625018,-0.35,-0.33,4.29585e-08,0.353228,0.329914,0.00685393,0.0500001,0.39,5.89763e-08,-0.346957,0.329897,0.00632357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13831,0.35,-0.33,7.07716e-08,0.0537199,-0.389901,0.00745193,-0.35,-0.33,5.15502e-08,0.353922,0.32988,0.00816454,0.0500002,0.39,7.07716e-08,-0.346342,0.329854,0.00754181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.14817,0.35,-0.33,8.25668e-08,0.0543574,-0.389868,0.00863763,-0.35,-0.33,6.01419e-08,0.354632,0.329841,0.0094552,0.0500002,0.39,8.25668e-08,-0.345725,0.329805,0.00874454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.15829,0.35,-0.33,9.43621e-08,0.0549999,-0.389832,0.00980725,-0.35,-0.33,6.87336e-08,0.355357,0.329798,0.010726,0.0500002,0.39,9.43621e-08,-0.345107,0.32975,0.00993171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.16822,0.35,-0.33,1.06157e-07,0.0556473,-0.389793,0.0109608,-0.35,-0.33,7.73253e-08,0.356098,0.329751,0.0119769,0.0500002,0.39,1.06157e-07,-0.344486,0.329689,0.0111033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.17832,0.35,-0.33,1.17953e-07,0.0562996,-0.38975,0.0120983,-0.35,-0.33,8.5917e-08,0.356853,0.329701,0.013208,0.0500003,0.39,1.17953e-07,-0.343863,0.329622,0.0122593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1882,0.35,-0.33,1.29748e-07,0.0569566,-0.389704,0.0132197,-0.35,-0.33,9.45087e-08,0.357624,0.329647,0.0144194,0.0500003,0.39,1.29748e-07,-0.343239,0.32955,0.0133997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.19832,0.35,-0.33,1.41543e-07,0.0576183,-0.389656,0.0143252,-0.35,-0.33,1.031e-07,0.35841,0.329591,0.0156112,0.0500003,0.39,1.41543e-07,-0.342612,0.329473,0.0145244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.24482,0.35,-0.33,1.53338e-07,0.0582847,-0.389605,0.0154146,-0.35,-0.33,1.11692e-07,0.359211,0.329533,0.0167834,0.0500004,0.39,1.53338e-07,-0.341984,0.329391,0.0156335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.255,0.35,-0.33,1.65134e-07,0.0589556,-0.389553,0.016488,-0.35,-0.33,1.20284e-07,0.360026,0.329472,0.0179361,0.0500004,0.39,1.65134e-07,-0.341354,0.329305,0.016727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.26507,0.35,-0.33,1.76929e-07,0.0596311,-0.389499,0.0175455,-0.35,-0.33,1.28875e-07,0.360855,0.32941,0.0190695,0.0500004,0.39,1.76929e-07,-0.340722,0.329215,0.0178049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.27503,0.35,-0.33,1.88724e-07,0.0603111,-0.389444,0.0185871,-0.35,-0.33,1.37467e-07,0.361699,0.329347,0.0201836,0.0500004,0.39,1.88724e-07,-0.340089,0.329121,0.0188672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.28506,0.35,-0.33,2.00519e-07,0.0609955,-0.389387,0.0196129,-0.35,-0.33,1.46059e-07,0.362557,0.329283,0.0212786,0.0500005,0.39,2.00519e-07,-0.339453,0.329024,0.019914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.29509,0.35,-0.33,2.12315e-07,0.0616842,-0.38933,0.0206229,-0.35,-0.33,1.54651e-07,0.363428,0.329218,0.0223546,0.0500005,0.39,2.12315e-07,-0.338816,0.328924,0.0209451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.30506,0.350001,-0.33,2.2411e-07,0.0623772,-0.389272,0.0216171,-0.35,-0.329999,1.63242e-07,0.364313,0.329154,0.0234117,0.0500005,0.39,2.2411e-07,-0.338177,0.328821,0.0219608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.31518,0.350001,-0.33,2.35905e-07,0.0630745,-0.389213,0.0225957,-0.35,-0.329999,1.71834e-07,0.365212,0.329089,0.0244501,0.0500006,0.39,2.35905e-07,-0.337537,0.328716,0.022961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.32512,0.350001,-0.33,2.477e-07,0.0637759,-0.389155,0.0235587,-0.35,-0.329999,1.80426e-07,0.366124,0.329024,0.0254699,0.0500006,0.39,2.477e-07,-0.336895,0.328608,0.0239458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.33507,0.350001,-0.33,2.59496e-07,0.0644815,-0.389097,0.0245061,-0.35,-0.329999,1.89017e-07,0.367049,0.328961,0.0264712,0.0500006,0.39,2.59496e-07,-0.336251,0.328498,0.0249151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.34517,0.350001,-0.33,2.71291e-07,0.0651911,-0.389039,0.0254381,-0.35,-0.329999,1.97609e-07,0.367988,0.328898,0.0274542,0.0500006,0.39,2.71291e-07,-0.335606,0.328387,0.0258691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.35514,0.350001,-0.33,2.83086e-07,0.0659047,-0.388983,0.0263548,-0.35,-0.329999,2.06201e-07,0.368939,0.328836,0.028419,0.0500007,0.39,2.83086e-07,-0.334959,0.328274,0.0268079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
